Component,Deadline Date,Type,Name,,Alias,,City,Region,2015 Federal Riding,2025 New Federal Riding,Total Grant
Public Outreach,27-Mar-24,Organization,"Arprim, centre d'essai en art imprimé",,"Arprim, centre d'essai en art imprimé",,MONTRÉAL,QC,Alfred-Pellan, Alfred-Pellan ,"$9,700 "
Public Outreach,27-Mar-24,Organization,Centrale Alternative,,Centrale Alternative,,QUÉBEC,QC,Beauport--Limoilou, Beauport—Limoilou ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Théâtre Rude Ingénierie,,Théâtre Rude Ingénierie,,QUÉBEC,QC,Beauport--Limoilou, Beauport—Limoilou ,"$27,000 "
Public Outreach,27-Mar-24,Organization,"Regart, centre d'artistes en art actuel",,"Regart, centre d'artistes en art actuel",,LÉVIS,QC,Bellechasse--Les Etchemins--Lévis, Bellechasse—Les Etchemins—Lévis ,"$13,800 "
Public Outreach,27-Mar-24,Organization,Arts & Culture Initiative of South Asia,,Arts & Culture Initiative of South Asia,,BRAMPTON,ON,Brampton North, Brampton North ,"$45,000 "
Public Outreach,27-Mar-24,Organization,CENTRE ADÉLARD,,CENTRE ADÉLARD,,FRELIGHSBURG,QC,Brome--Missisquoi, Brome—Missisquoi ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Art in the Open Inc.,,Art in the Open Inc.,,CHARLOTTETOWN,PE,Charlottetown, Charlottetown ,"$15,000 "
Public Outreach,27-Mar-24,Organization,Van Vogue Jam Arts Society,,Van Vogue Jam Arts Society,,SURREY,BC,Cloverdale--Langley City, Cloverdale—Langley City ,"$47,000 "
Public Outreach,27-Mar-24,Organization,Diwali Celebration Society,,Diwali Celebration Society,,PORT COQUITLAM,BC,Coquitlam--Port Coquitlam, Coquitlam—Port Coquitlam ,"$35,000 "
Public Outreach,27-Mar-24,Organization,Atlantic Flamenco,,Atlantic Flamenco,,DARTMOUTH,NS,Dartmouth--Cole Harbour, Dartmouth—Cole Harbour ,"$14,000 "
Public Outreach,27-Mar-24,Organization,Mayworks Kjipuktuk/Halifax,,Mayworks Kjipuktuk/Halifax,,DARTMOUTH,NS,Dartmouth--Cole Harbour, Dartmouth—Cole Harbour ,"$65,000 "
Public Outreach,27-Mar-24,Group,Nowadays Festival,,Nowadays Festival,,DARTMOUTH,NS,Dartmouth--Cole Harbour, Dartmouth—Cole Harbour ,"$23,000 "
Public Outreach,27-Mar-24,Organization,Museum of Contemporary Art Toronto Canada,,Museum of Contemporary Art Toronto Canada,,TORONTO,ON,Davenport, Davenport ,"$50,000 "
Public Outreach,27-Mar-24,Organization,Wavelength Music,,Wavelength Music,,TORONTO,ON,Davenport, Davenport ,"$30,000 "
Public Outreach,27-Mar-24,Organization,WeeFestival of Arts and Culture,,WeeFestival of Arts and Culture,,TORONTO,ON,Davenport, Davenport ,"$100,000 "
Public Outreach,27-Mar-24,Organization,Women From Space,,Women From Space,,TORONTO,ON,Davenport, Davenport ,"$38,512 "
Public Outreach,27-Mar-24,Organization,Aga Khan Museum,,Aga Khan Museum,,TORONTO,ON,Don Valley East, Don Valley East ,"$100,000 "
Public Outreach,27-Mar-24,Organization,Arts for Canadians Tomorrow Society,,Arts for Canadians Tomorrow Society,,TORONTO,ON,Don Valley West, Don Valley West ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Edmonton International Street Performers Festival Association,,Edmonton International Street Performers Festival Association,,EDMONTON,AB,Edmonton Centre, Edmonton Centre ,"$40,000 "
Public Outreach,27-Mar-24,Organization,Arts on the Ave,,Arts on the Ave,,EDMONTON,AB,Edmonton Griesbach, Edmonton Griesbach ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Health Arts Society of Alberta,,Health Arts Society of Alberta,,EDMONTON,AB,Edmonton Strathcona, Edmonton Strathcona ,"$10,000 "
Public Outreach,27-Mar-24,Organization,Manitoba Cultural Society of the Deaf,,Manitoba Cultural Society of the Deaf,,WINNIPEG,MB,Elmwood--Transcona, Elmwood—Transcona ,"$7,069 "
