Component,Deadline Date,Type,Name,,Alias,,City,Region,2015 Federal Riding,2025 New Federal Riding,Total Grant
Circulation and Touring,6 December 2023,Organization,Machine de Cirque,,Machine de Cirque,,QUÉBEC,QC,Beauport--Limoilou, Beauport—Limoilou ," $12,000 "
Circulation and Touring,6 December 2023,Organization,Kaha:wi Dance Theatre,,Kaha:wi Dance Theatre,,HAGERSVILLE,ON,Brantford--Brant, Haldimand—Norfolk ," $27,500 "
Circulation and Touring,6 December 2023,Organization,The Old Trout Puppet Workshop,,The Old Trout Puppet Workshop,,CALGARY,AB,Calgary Centre, Calgary Centre ," $53,000 "
Circulation and Touring,6 December 2023,Group,Inn Echo,,Inn Echo,,CHARLOTTETOWN,PE,Charlottetown, Charlottetown ," $7,200 "
Circulation and Touring,6 December 2023,Group,Inn Echo,,Inn Echo,,CHARLOTTETOWN,PE,Charlottetown, Charlottetown ," $10,000 "
Circulation and Touring,6 December 2023,Organization,Anandam Dancetheatre,,Anandam Dancetheatre,,TORONTO,ON,Davenport, Davenport ," $20,200 "
Circulation and Touring,6 December 2023,Individual,"Micho, Deborah",,DEBBY FRIDAY,,TORONTO,ON,Davenport, Davenport ," $13,000 "
Circulation and Touring,6 December 2023,Group,OKAN,,OKAN,,TORONTO,ON,Davenport, Davenport ," $39,500 "
Circulation and Touring,6 December 2023,Organization,Why Not Theatre,,Why Not Theatre,,TORONTO,ON,Davenport, Davenport ," $154,000 "
Circulation and Touring,6 December 2023,Organization,Le Patin Libre,,Le Patin Libre,,MONTREAL,QC,Hochelaga, Hochelaga ," $15,000 "
Circulation and Touring,6 December 2023,Organization,Les Foutoukours,,Les Foutoukours,,MONTRÉAL,QC,Hochelaga, Hochelaga ," $4,000 "
Circulation and Touring,6 December 2023,Organization,No Excuses No Limits Movement,,No Excuses No Limits Movement,,MONTRÉAL,QC,Hochelaga, Hochelaga ," $21,500 "
Circulation and Touring,6 December 2023,Individual,"Quach, Huu Bac",,"Quach, Huu Bac",,MONTRÉAL,QC,Hochelaga, Hochelaga ," $26,600 "
Circulation and Touring,6 December 2023,Individual,"Quach, Huu Bac",,"Quach, Huu Bac",,MONTRÉAL,QC,Hochelaga, Hochelaga ," $11,000 "
Circulation and Touring,6 December 2023,Group,Bboyizm,,Bboyizm,,GATINEAU,QC,Hull--Aylmer, Hull—Aylmer ," $51,000 "
Circulation and Touring,6 December 2023,Individual,"Amadi, Chinonso",,"Amadi, Chinonso",,KITCHENER,ON,Kitchener Centre, Kitchener Centre ," $25,000 "
Circulation and Touring,6 December 2023,Organization,Compagnie Catherine Gaudet,,Compagnie Catherine Gaudet,,MONTRÉAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $34,900 "
Circulation and Touring,6 December 2023,Organization,Daniel Léveillé Danse,,Daniel Léveillé Danse,,MONTRÉAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $59,000 "
Circulation and Touring,6 December 2023,Group,Dumai Dunai,,Dumai Dunai,,MONTRÉAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $30,000 "
Circulation and Touring,6 December 2023,Group,La Sécurité,,La Sécurité,,MONTRÉAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $34,500 "
Circulation and Touring,6 December 2023,Organization,Les Grands Ballets Canadiens de Montréal,,Les Grands Ballets Canadiens de Montréal,,MONTREAL,QC,Laurier--Sainte-Marie                                                                               , Laurier—Sainte-Marie ," $200,000 "
Circulation and Touring,6 December 2023,Organization,MUTEK,,MUTEK,,MONTRÉAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $97,400 "
Circulation and Touring,6 December 2023,Individual,"Rincon, Daniel",,"Rincon, Daniel",,MONTRÉAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $5,000 "
Circulation and Touring,6 December 2023,Organization,Théâtre de la Ligue Nationale d'Improvisation,,Théâtre de la Ligue Nationale d'Improvisation,,MONTRÉAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $9,400 "
Circulation and Touring,6 December 2023,Organization,Théâtre du Frèt,,Théâtre du Frèt,,MONTRÉAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $60,000 "
Circulation and Touring,6 December 2023,Individual,"Modabi Ndogeya, José Louis",,"Modabi Ndogeya, José Louis",,LAVAL,QC,Laval--Les Îles, Alfred-Pellan ," $9,700 "
Circulation and Touring,6 December 2023,Individual,"Pimienta, Lido",,"Pimienta, Lido",,LONDON,ON,London West, London West ," $34,000 "
Circulation and Touring,6 December 2023,Individual,"Isaac, Elisapie",,"Isaac, Elisapie",,LONGUEUIL,QC,Longueuil--Charles-LeMoyne, Longueuil—Saint-Hubert ," $32,300 "
Circulation and Touring,6 December 2023,Organization,Theatre Motus,,Theatre Motus,,LONGUEUIL,QC,Longueuil--Saint-Hubert, Longueuil—Saint-Hubert ," $9,000 "
Circulation and Touring,6 December 2023,Individual,"Willes, Christopher",,"Willes, Christopher",,MILTON,ON,Milton, Wellington—Halton Hills ," $63,600 "
Circulation and Touring,6 December 2023,Individual,"Cassils, Heather",,CASSILS,,BROOKLYN,Outside Canada,n/a, n/a ," $25,000 "
Circulation and Touring,6 December 2023,Individual,"Todd, Maylee",,"Todd, Maylee",,LOS ANGELES,Outside Canada,n/a, n/a ," $11,100 "
Circulation and Touring,6 December 2023,Individual,"Dekker, Anthony",,"Dekker, Anthony",,QUEENSTON,ON,Niagara Falls, Niagara Falls ," $27,000 "
Circulation and Touring,6 December 2023,Individual,"Riolino, Julianna",,"Riolino, Julianna",,RIDGEVILLE,ON,Niagara West, Niagara West ," $9,200 "
Circulation and Touring,6 December 2023,Individual,"Lichtenberg, Lenka",,"Lichtenberg, Lenka",,BEWDLEY,ON,Northumberland--Peterborough South, Northumberland—Peterborough South ," $34,000 "
Circulation and Touring,6 December 2023,Individual,"Tirolien, Malika",,"Tirolien, Malika",,MONTRÉAL,QC,Notre-Dame-de-Grâce--Westmount, Notre-Dame-de-Grâce—Westmount ," $34,500 "
Circulation and Touring,6 December 2023,Group,Cheng² Duo,,Cheng² Duo,,OTTAWA,ON,Ottawa--Vanier, Ottawa—Vanier ," $21,000 "
Circulation and Touring,6 December 2023,Organization,Centre des musiciens du monde,,Centre des musiciens du monde,,MONTRÉAL,QC,Outremont, Outremont ," $5,200 "
Circulation and Touring,6 December 2023,Organization,Compagnie Marie Chouinard,,Compagnie Marie Chouinard,,MONTRÉAL,QC,Outremont, Outremont ," $70,000 "
Circulation and Touring,6 December 2023,Organization,Constantinople,,Constantinople,,MONTRÉAL,QC,Outremont, Outremont ," $68,700 "
Circulation and Touring,6 December 2023,Individual,"Dutcher, Jeremy",,"Dutcher, Jeremy",,MONTRÉAL,QC,Outremont, Outremont ," $33,300 "
Circulation and Touring,6 December 2023,Individual,"Furey, Clara",,"Furey, Clara",,MONTREAL,QC,Outremont, Outremont ," $37,000 "
Circulation and Touring,6 December 2023,Organization,Transthéâtre,,Transthéâtre,,MONTREAL,QC,Outremont, Outremont ," $95,000 "
Circulation and Touring,6 December 2023,Organization,Acting for Climate Montreal,,Acting for Climate Montreal,,MONTRÉAL,QC,Papineau, Papineau ," $37,000 "
Circulation and Touring,6 December 2023,Individual,"Stetson, Colin",,"Stetson, Colin",,MONTRÉAL,QC,Papineau, Papineau ," $22,000 "
Circulation and Touring,6 December 2023,Individual,"Webber, Giselle",,"Webber, Giselle",,MONTRÉAL,QC,Papineau, Papineau ," $23,000 "
Circulation and Touring,6 December 2023,Individual,"Burkett, Ronnie",,"Burkett, Ronnie",,TORONTO,ON,Parkdale--High Park, Parkdale—High Park ," $28,000 "
Circulation and Touring,6 December 2023,Group,Lemon Bucket Orkestra,,Lemon Bucket Orkestra,,TORONTO,ON,Parkdale--High Park, Parkdale—High Park ," $54,000 "
Circulation and Touring,6 December 2023,Individual,"Meree, Ahmad",,"Meree, Ahmad",,TORONTO,ON,Parkdale--High Park, Parkdale—High Park ," $17,000 "
Circulation and Touring,6 December 2023,Organization,Tour de Bras,,Tour de Bras,,RIMOUSKI,QC,Rimouski-Neigette--Témiscouata--Les Basques, Rimouski-Neigette—Témiscouata—Les Basques ," $6,000 "
Circulation and Touring,6 December 2023,Organization,Animals of Distinction Arts Society,,Animals of Distinction Arts Society,,MONTREAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ," $90,000 "
Circulation and Touring,6 December 2023,Individual,"Bleau, Myriam",,"Bleau, Myriam",,MONTRÉAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ," $2,550 "
Circulation and Touring,6 December 2023,Individual,"Bleau, Myriam",,"Bleau, Myriam",,MONTRÉAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ," $2,100 "
Circulation and Touring,6 December 2023,Individual,"Roux-Leclerc, Salomé",,"Roux-Leclerc, Salomé",,MONTRÉAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ," $8,500 "
Circulation and Touring,6 December 2023,Individual,"San, Eric",,"San, Eric",,MONTRÉAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ," $15,000 "
Circulation and Touring,6 December 2023,Group,Heliotrope,,Heliotrope,,SAANICHTON,BC,Saanich--Gulf Islands, Saanich—Gulf Islands ," $12,500 "
Circulation and Touring,6 December 2023,Organization,Mammalian Diving Reflex,,Mammalian Diving Reflex,,TORONTO,ON,Spadina--Fort York, Spadina—Fort York ," $92,000 "
Circulation and Touring,6 December 2023,Organization,The National Ballet of Canada,,The National Ballet of Canada,,TORONTO,ON,Spadina--Fort York, Spadina—Fort York ," $110,000 "
Circulation and Touring,6 December 2023,Individual,"Hoefner, Florian",,"Hoefner, Florian",,ST. JOHN'S,NL,St. John's East, St. John's East ," $7,900 "
Circulation and Touring,6 December 2023,Group,Home Front,,Home Front,,BON ACCORD,AB,Sturgeon River--Parkland, Sturgeon River—Parkland ," $45,000 "
Circulation and Touring,6 December 2023,Organization,Human Body Expressions,,Human Body Expressions,,TORONTO,ON,Toronto Centre, Toronto Centre ," $27,950 "
Circulation and Touring,6 December 2023,Group,Lina Allemano Four,,Lina Allemano Four,,TORONTO,ON,Toronto--St. Paul's, Toronto—St. Paul's ," $12,000 "
Circulation and Touring,6 December 2023,Organization,Tafelmusik,,Tafelmusik,,TORONTO,ON,University--Rosedale, University—Rosedale ," $90,000 "
Circulation and Touring,6 December 2023,Organization,Ballet BC,,Ballet BC,,VANCOUVER,BC,Vancouver Centre, Vancouver Centre ," $55,000 "
Circulation and Touring,6 December 2023,Group,Impaired,,Impaired,,VANCOUVER,BC,Vancouver East, Vancouver East ," $40,000 "
Circulation and Touring,6 December 2023,Individual,"Layne, Robin",,"Layne, Robin",,VANCOUVER,BC,Vancouver East, Vancouver East ," $10,000 "
Circulation and Touring,6 December 2023,Individual,"Mangan, Daniel",,"Mangan, Daniel",,VANCOUVER,BC,Vancouver East, Vancouver East ," $20,000 "
Circulation and Touring,6 December 2023,Individual,"Richards, Stephanie",,Steph Richards,,VANCOUVER,BC,Vancouver East, Vancouver East ," $12,000 "
Circulation and Touring,6 December 2023,Organization,The Frank Theatre Company,,The Frank Theatre Company,,VANCOUVER,BC,Vancouver East, Vancouver East ," $100,000 "
Circulation and Touring,6 December 2023,Group,Milton Lim and Patrick Blenkarn,,Milton Lim and Patrick Blenkarn,,VANCOUVER,BC,Vancouver Kingsway, Vancouver Kingsway ," $68,000 "
Circulation and Touring,6 December 2023,Individual,"Hung, Yuhsien",,"Hung, Yuhsien",,VAUDREUIL-DORION,QC,Vaudreuil--Soulanges, Vaudreuil—Soulanges ," $9,500 "
Circulation and Touring,6 December 2023,Individual,"Quach, Eric",,"Quach, Eric",,MONTREAL,QC,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs, Ville-Marie—Le Sud-Ouest—Île-des-Soeurs ," $3,450 "
Circulation and Touring,6 December 2023,Individual,"Gould, Jocelyn",,"Gould, Jocelyn",,WINNIPEG,MB,Winnipeg Centre, Winnipeg Centre ," $32,000 "
Circulation and Touring,6 December 2023,Individual,"Roger, Madeleine",,"Roger, Madeleine",,WINNIPEG,MB,Winnipeg Centre, Winnipeg Centre ," $7,600 "
Circulation and Touring,6 December 2023,Individual,"Turenne, Andrina",,"Turenne, Andrina",,WINNIPEG,MB,Winnipeg North, Winnipeg North ," $6,900 "
Circulation and Touring,26 June 2024,Organization,La Fille Du Laitier,,La Fille Du Laitier,,MONTRÉAL,QC,Ahuntsic-Cartierville, Ahuntsic-Cartierville ," $19,000 "
Circulation and Touring,26 June 2024,Organization,Institut pour la coordination et la propagation des cinémas exploratoires,,Institut pour la coordination et la propagation des cinémas exploratoires,,LAVAL,QC,Alfred-Pellan, Alfred-Pellan ," $14,000 "
Circulation and Touring,26 June 2024,Group,Quote the Raven,,Quote the Raven,,CONCEPTION BAY SOUTH,NL,Avalon, Avalon ," $9,500 "
Circulation and Touring,26 June 2024,Group,Rum Ragged,,Rum Ragged,,ST. BRIDE'S,NL,Avalon, Avalon ," $9,030 "
Circulation and Touring,26 June 2024,Organization,Talk Is Free Theatre,,Talk Is Free Theatre,,BARRIE,ON,Barrie--Springwater--Oro-Medonte, Barrie—Springwater—Oro-Medonte ," $55,000 "
Circulation and Touring,26 June 2024,Group,FreePlay,,FreePlay,,TORONTO,ON,Beaches--East York, Beaches—East York ," $7,200 "
Circulation and Touring,26 June 2024,Organization,L'orchestre d'hommes-orchestres,,L'orchestre d'hommes-orchestres,,QUÉBEC,QC,Beauport--Limoilou, Beauport—Limoilou ," $23,000 "
Circulation and Touring,26 June 2024,Individual,"Fortin, Sylvie",,"Fortin, Sylvie",,LÉVIS,QC,Bellechasse--Les Etchemins--Lévis, Bellechasse—Les Etchemins—Lévis ," $32,900 "
Circulation and Touring,26 June 2024,Group,Brise-Glace chants de marins,,Brise-Glace chants de marins,,SAINT-LAMBERT,QC,Brossard--Saint-Lambert, Brossard—Saint-Lambert ," $7,100 "
Circulation and Touring,26 June 2024,Individual,"Roy, Félix",,François-Félix Roy,,BROSSARD,QC,Brossard--Saint-Lambert, Brossard—Saint-Lambert ," $4,100 "
Circulation and Touring,26 June 2024,Individual,"Prince, William",,"Prince, William",,BURLINGTON,ON,Burlington, Burlington ," $72,000 "
Circulation and Touring,26 June 2024,Group,The Halluci Nation,,The Halluci Nation,,BURLINGTON,ON,Burlington, Burlington ," $23,700 "
Circulation and Touring,26 June 2024,Organization,The Old Trout Puppet Workshop,,The Old Trout Puppet Workshop,,CALGARY,AB,Calgary Centre, Calgary Centre ," $60,000 "
Circulation and Touring,26 June 2024,Individual,"HAN, SUNG PIL",,HAN SUNGPIL,,CALGARY,AB,Calgary Confederation, Calgary Confederation ," $95,700 "
Circulation and Touring,26 June 2024,Individual,"MacLean, James",,Doc MacLean,,TORONTO,ON,Davenport, Davenport ," $3,790 "
Circulation and Touring,26 June 2024,Organization,Why Not Theatre,,Why Not Theatre,,TORONTO,ON,Davenport, Davenport ," $200,000 "
Circulation and Touring,26 June 2024,Organization,The Nathaniel Dett Chorale,,The Nathaniel Dett Chorale,,TORONTO,ON,Don Valley East, Don Valley East ," $65,950 "
Circulation and Touring,26 June 2024,Individual,"Lee, Clayton",,"Lee, Clayton",,TORONTO,ON,Don Valley North, Don Valley North ," $16,700 "
Circulation and Touring,26 June 2024,Group,Tragedy Ann,,Tragedy Ann,,GUELPH,ON,Guelph, Guelph ," $20,000 "
Circulation and Touring,26 June 2024,Individual,"Caplan, Benjamin",,Ben Caplan,,HALIFAX,NS,Halifax, Halifax ," $34,000 "
Circulation and Touring,26 June 2024,Organization,Jaberi Dance Theatre,,Jaberi Dance Theatre,,HAMILTON,ON,Hamilton Centre, Hamilton Centre ," $40,000 "
Circulation and Touring,26 June 2024,Group,Super Duty Tough Work,,Super Duty Tough Work,,HAMILTON,ON,Hamilton West--Ancaster--Dundas, Flamborough—Glanbrook ," $31,500 "
Circulation and Touring,26 June 2024,Individual,"Diarra, Sountougoumba",,Djely Tapa,,MONTRÉAL,QC,Hochelaga, Hochelaga ," $20,000 "
Circulation and Touring,26 June 2024,Individual,"Diarra, Sountougoumba",,Djely Tapa,,MONTRÉAL,QC,Hochelaga, Hochelaga ," $16,000 "
Circulation and Touring,26 June 2024,Organization,Le Patin Libre,,Le Patin Libre,,MONTREAL,QC,Hochelaga, Hochelaga ," $50,000 "
Circulation and Touring,26 June 2024,Individual,"Adkins, Jamie",,"Adkins, Jamie",,GATINEAU,QC,Hull--Aylmer, Hull—Aylmer ," $21,600 "
Circulation and Touring,26 June 2024,Organization,Cirque Alfonse,,Cirque Alfonse,,SAINT-ALPHONSE-RODRIGUEZ,QC,Joliette, Joliette ," $50,000 "
Circulation and Touring,26 June 2024,Individual,"Iyer, Thanya",,"Iyer, Thanya",,PIERREFONDS,QC,Lac-Saint-Louis, Lac-Saint-Louis ," $15,000 "
Circulation and Touring,26 June 2024,Organization,14 Lieux,,14 Lieux,,MONTREAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $20,000 "
Circulation and Touring,26 June 2024,Organization,Compagnie Catherine Gaudet,,Compagnie Catherine Gaudet,,MONTRÉAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $35,000 "
Circulation and Touring,26 June 2024,Individual,"Dumont Gagné, Rosalie",,"Dumont Gagné, Rosalie",,MONTRÉAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $19,600 "
Circulation and Touring,26 June 2024,Organization,"Le Carrousel, compagnie de théâtre",,"Le Carrousel, compagnie de théâtre",,MONTRÉAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $36,000 "
Circulation and Touring,26 June 2024,Organization,Orchestre symphonique de Montréal,,Orchestre symphonique de Montréal,,MONTRÉAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $200,000 "
Circulation and Touring,26 June 2024,Group,Pierre-Luc Senecal,,Pierre-Luc Senecal,,MONTREAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $26,500 "
Circulation and Touring,26 June 2024,Organization,Productions People Watching,,Productions People Watching,,MONTRÉAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $52,300 "
Circulation and Touring,26 June 2024,Group,The Complete Recordings of Hezekiah Procter,,The Complete Recordings of Hezekiah Procter,,MONTREAL,QC,Laurier--Sainte-Marie, Laurier—Sainte-Marie ," $32,323 "
